from_cell,to_cell,trips,distance,origin,business,eatery,education,entertainment,financial,historical,industrial,medical,other,public,religious,residential,shopping,transport
"(5, 3)","(3, 5)",1,2.8284271247461903,214.0,13.532536606277962,50.606285975811424,69.03624246262254,34.97180105143469,17.98066846527245,2.990778033219235,67.07879713048425,13.814319060075226,153.96539258391428,31.472798579392954,13.756207099539738,72.57430584108658,59.35479847805848,80.30636889480218
"(0, 1)","(1, 3)",1,2.23606797749979,143.0,11.841573600084502,38.69718131539255,30.026943446538624,13.827421347643803,19.246870723172684,1.4094215918423096,36.32780427604181,27.72722475808643,123.28773842356406,24.613246573764194,12.85240229849643,55.50553608951881,28.12783903383562,49.36524736430755
"(2, 4)","(5, 5)",1,3.1622776601683795,220.0,8.710798488677037,7.336391564730275,19.480120074405853,646.8380812799819,5.653881232676752,3.3374660332907586,20.618363927726133,4.006180358904859,91.41235413163805,23.04027102147727,7.584306706412268,23.536986307707473,18.757182851361414,15.77228065322948
"(5, 6)","(3, 2)",1,4.47213595499958,9.0,32.17836500575316,137.83318763755776,96.07698449447749,74.14132922000708,28.29468543628067,37.82515276082229,87.5109982233788,31.25820984447849,513.6735888338542,124.0933013886622,32.34366196448974,80.05857724520601,96.62107234805727,138.67563684300174
"(4, 6)","(3, 4)",1,2.23606797749979,13.0,84.77603521386126,251.69167133051673,131.2163052858617,75.7338357232314,90.50328939090478,46.61810456333695,105.55672024299007,75.95027795197979,698.8790611247633,91.71320835729958,75.06481986370832,100.59168373010507,208.93390018212787,126.87238368188311
"(4, 5)","(3, 1)",1,4.123105625617661,204.0,1.119895136251192,11.191245612213427,12.473884145355559,34.034771294467625,1.808051832916971,0.49260303749498663,15.839446456549519,2.3257728660352583,133.24781044711406,23.87742865714991,2.6379939047493948,13.557132701472609,7.667944084026084,17.952324694773026
"(5, 6)","(6, 6)",1,1.0,9.0,0.00846948988077767,0.025304619088673347,0.015456829959530398,0.5971675372114171,0.007288664946152678,0.0014543124880789637,0.07605212477255571,0.003955517190757889,8.982369100863702,0.061304353302738424,0.0626662748486826,0.06450455992534802,0.014934080750548263,0.05065242219521819
"(6, 3)","(6, 4)",2,1.0,8.0,6.489308369901843,2.8236772486402537,21.711826006052235,22.313674124543507,8.828080231552711,1.3200687947778826,17.80097385518442,6.481353602979254,38.93578854529226,10.25350732785865,8.914039923741118,35.55124674235763,11.292827408772368,20.397513889807538
"(2, 2)","(5, 4)",1,3.605551275463989,230.0,42.71978694910011,31.709251921835353,74.72530708747082,1476.1339717087296,31.409381292591792,9.117670166310583,30.538984509258427,26.796708442691127,125.65431883815964,61.66629928333215,42.3467366546818,107.33149229078073,76.50752574739144,66.11851482467495
"(0, 1)","(2, 1)",1,2.0,143.0,0.45053047292020926,8.796726031334812,11.109822320527435,11.501973510002486,0.8271633157995951,0.117035220882876,5.923195745313641,1.2315342524856665,63.474436893202444,2.5502850609965377,0.726304866175375,7.690686126125882,3.739768591027326,8.074586800804274
"(6, 5)","(4, 5)",1,2.0,162.0,7.788467680133899,24.518561593663783,51.10065850884895,358.3727139617971,5.653310598952266,3.3531636530298097,65.54782632779336,9.115160413284078,165.73800733192243,29.483995004107474,8.292569443301447,59.981570537320934,31.54939247084672,51.19604758098904
"(4, 7)","(1, 1)",1,6.708203932499369,0.0,0.41011274029729045,6.475703929502106,8.297211945110934,15.32204967909042,1.3458455104527478,0.36217962121774333,3.6942568177084802,1.3144757308556034,58.49410769594428,1.3646262566422922,0.5341359544878939,5.99030295913674,4.555290966958029,7.6807589967217345
"(2, 1)","(0, 1)",1,2.0,213.0,0.0006080874706827986,0.12280808292134249,1.6674463293650577,8.605864655116866,0.04701133857991164,0.0009508197678996372,0.20798783091095344,0.035961555167113135,4.1104839967613485,0.2600114674570908,0.0005434202299322244,0.568422928699847,0.03728880177527851,0.18419927911225084
"(4, 6)","(3, 3)",4,3.1622776601683795,13.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(4, 2)","(6, 3)",1,2.23606797749979,142.0,15.85564094146371,13.874421701912677,20.035033845666874,11.004791465950403,22.13152044271518,1.9882679469266509,19.84459828150294,21.17218309823535,29.20577116237073,25.237577544944934,25.01579627344697,29.386302715606288,12.172607048771344,30.529732118413765
"(4, 7)","(6, 2)",1,5.385164807134504,0.0,6.751297913150637,49.32938496394413,95.50872619350464,19.94667443294874,10.231878814768436,4.1856436571810125,85.11340560134771,10.159734992816455,114.52094836399388,66.0133014161505,14.362624810036502,43.43115198284174,51.075075640400854,70.34199403518042
"(4, 4)","(2, 5)",1,2.23606797749979,181.0,6.288799781579819,59.08417839754753,36.53730698741684,18.29745652119953,10.032835101907136,12.750345093647308,43.83556704850188,7.061365235897804,149.14861420611481,34.86795158245434,8.376616011645346,57.803138227429834,55.24284380141148,51.98163604963204
"(4, 5)","(4, 2)",1,3.0,204.0,26.131899671926984,52.67190339845591,104.39669603677744,292.619034336511,38.17995047293708,41.449560087501006,225.60815327279832,22.7456065845217,372.7116526820445,378.1857844801222,29.64774635777066,73.04361191592437,139.89048929371427,101.9532929209975
"(2, 3)","(4, 2)",2,2.23606797749979,159.0,26.131899671926984,52.67190339845591,104.39669603677744,292.619034336511,38.17995047293708,41.449560087501006,225.60815327279832,22.7456065845217,372.7116526820445,378.1857844801222,29.64774635777066,73.04361191592437,139.89048929371427,101.9532929209975
"(2, 3)","(5, 3)",1,3.0,159.0,30.73859304763248,48.22924656713955,74.41062860703472,1512.1317841692342,37.086425619943775,14.737228667975625,26.585203695186614,39.25455850229579,98.59815328301049,43.46276618077918,39.95605718920207,98.79627487897064,48.0632175298209,63.326070262853996
"(3, 6)","(5, 6)",1,2.0,100.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(6, 3)","(5, 6)",1,3.1622776601683795,8.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(4, 5)","(2, 0)",1,5.385164807134504,204.0,0.004475680190171613,0.02599975545557778,0.03277532408324179,1.6215998108623897,0.005902597611240622,0.00022948228605029192,0.017248983860880755,0.008708118212896144,4.872430477661961,0.007289064113831469,0.0051066031799448285,0.02256767672884452,0.010919223734585818,0.02357615630054929
"(5, 3)","(6, 2)",2,1.4142135623730951,214.0,6.751297913150637,49.32938496394413,95.50872619350464,19.94667443294874,10.231878814768436,4.1856436571810125,85.11340560134771,10.159734992816455,114.52094836399388,66.0133014161505,14.362624810036502,43.43115198284174,51.075075640400854,70.34199403518042
"(3, 4)","(6, 6)",1,3.605551275463989,169.0,0.00846948988077767,0.025304619088673347,0.015456829959530398,0.5971675372114171,0.007288664946152678,0.0014543124880789637,0.07605212477255571,0.003955517190757889,8.982369100863702,0.061304353302738424,0.0626662748486826,0.06450455992534802,0.014934080750548263,0.05065242219521819
"(2, 1)","(6, 4)",1,5.0,213.0,6.489308369901843,2.8236772486402537,21.711826006052235,22.313674124543507,8.828080231552711,1.3200687947778826,17.80097385518442,6.481353602979254,38.93578854529226,10.25350732785865,8.914039923741118,35.55124674235763,11.292827408772368,20.397513889807538
"(3, 2)","(3, 4)",1,2.0,140.0,84.77603521386126,251.69167133051673,131.2163052858617,75.7338357232314,90.50328939090478,46.61810456333695,105.55672024299007,75.95027795197979,698.8790611247633,91.71320835729958,75.06481986370832,100.59168373010507,208.93390018212787,126.87238368188311
"(3, 3)","(6, 3)",1,3.0,174.0,15.85564094146371,13.874421701912677,20.035033845666874,11.004791465950403,22.13152044271518,1.9882679469266509,19.84459828150294,21.17218309823535,29.20577116237073,25.237577544944934,25.01579627344697,29.386302715606288,12.172607048771344,30.529732118413765
"(4, 3)","(4, 6)",1,3.0,170.0,0.1913320550865007,0.6942894397181557,1.2720977543431018,5.595367825926443,0.1781153204247974,0.009974195469560514,1.8091816088608386,0.520436688576882,71.48224032938535,0.770939112294974,0.3167351990228713,1.6450356311148244,0.6255967140461655,1.3776200991364242
"(3, 6)","(3, 3)",1,3.0,100.0,139.6867990659347,365.0205282176154,149.37427186073512,99.01039265589407,115.95516593459516,113.50382271817936,122.40038639523468,115.43395741339013,985.4630430486185,160.10010094403873,113.00638011029811,73.1721762934619,203.54973801920107,140.7198136335872
"(2, 1)","(4, 1)",1,2.0,213.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(2, 3)","(0, 2)",1,2.23606797749979,159.0,0.06039385531221665,3.0372267758648777,0.4186687187228445,7.426710293566642,0.33260810782682526,0.024648435028998546,5.3978603105401755,0.273353656621817,3.922705634413615,1.845192097236645,0.07381595594885124,4.001327161231624,0.922368215762476,4.769039804164822
"(5, 3)","(5, 5)",1,2.0,214.0,8.710798488677037,7.336391564730275,19.480120074405853,646.8380812799819,5.653881232676752,3.3374660332907586,20.618363927726133,4.006180358904859,91.41235413163805,23.04027102147727,7.584306706412268,23.536986307707473,18.757182851361414,15.77228065322948
"(2, 3)","(2, 1)",2,2.0,159.0,0.45053047292020926,8.796726031334812,11.109822320527435,11.501973510002486,0.8271633157995951,0.117035220882876,5.923195745313641,1.2315342524856665,63.474436893202444,2.5502850609965377,0.726304866175375,7.690686126125882,3.739768591027326,8.074586800804274
"(6, 4)","(6, 5)",1,1.0,48.0,0.7700028424549229,0.9424207159225533,5.174622279256135,20.049988607829068,0.9928021885352838,0.4846856014172113,6.8983923540043675,0.5515468771720127,31.130485608485063,3.80688467666813,1.199785766438458,8.926585081532622,3.466334746065492,4.692224197821662
"(5, 5)","(1, 3)",1,4.47213595499958,179.0,11.841573600084502,38.69718131539255,30.026943446538624,13.827421347643803,19.246870723172684,1.4094215918423096,36.32780427604181,27.72722475808643,123.28773842356406,24.613246573764194,12.85240229849643,55.50553608951881,28.12783903383562,49.36524736430755
"(6, 5)","(6, 3)",1,2.0,162.0,15.85564094146371,13.874421701912677,20.035033845666874,11.004791465950403,22.13152044271518,1.9882679469266509,19.84459828150294,21.17218309823535,29.20577116237073,25.237577544944934,25.01579627344697,29.386302715606288,12.172607048771344,30.529732118413765
"(5, 2)","(3, 5)",1,3.605551275463989,35.0,13.532536606277962,50.606285975811424,69.03624246262254,34.97180105143469,17.98066846527245,2.990778033219235,67.07879713048425,13.814319060075226,153.96539258391428,31.472798579392954,13.756207099539738,72.57430584108658,59.35479847805848,80.30636889480218
"(2, 4)","(1, 3)",1,1.4142135623730951,220.0,11.841573600084502,38.69718131539255,30.026943446538624,13.827421347643803,19.246870723172684,1.4094215918423096,36.32780427604181,27.72722475808643,123.28773842356406,24.613246573764194,12.85240229849643,55.50553608951881,28.12783903383562,49.36524736430755
"(5, 4)","(6, 2)",1,2.23606797749979,271.0,6.751297913150637,49.32938496394413,95.50872619350464,19.94667443294874,10.231878814768436,4.1856436571810125,85.11340560134771,10.159734992816455,114.52094836399388,66.0133014161505,14.362624810036502,43.43115198284174,51.075075640400854,70.34199403518042
"(1, 2)","(1, 3)",3,1.0,204.0,11.841573600084502,38.69718131539255,30.026943446538624,13.827421347643803,19.246870723172684,1.4094215918423096,36.32780427604181,27.72722475808643,123.28773842356406,24.613246573764194,12.85240229849643,55.50553608951881,28.12783903383562,49.36524736430755
"(5, 2)","(6, 5)",1,3.1622776601683795,35.0,0.7700028424549229,0.9424207159225533,5.174622279256135,20.049988607829068,0.9928021885352838,0.4846856014172113,6.8983923540043675,0.5515468771720127,31.130485608485063,3.80688467666813,1.199785766438458,8.926585081532622,3.466334746065492,4.692224197821662
"(0, 2)","(0, 2)",1,0.0,95.0,0.06039385531221665,3.0372267758648777,0.4186687187228445,7.426710293566642,0.33260810782682526,0.024648435028998546,5.3978603105401755,0.273353656621817,3.922705634413615,1.845192097236645,0.07381595594885124,4.001327161231624,0.922368215762476,4.769039804164822
"(3, 0)","(4, 1)",1,1.4142135623730951,0.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(4, 3)","(6, 4)",1,2.23606797749979,170.0,6.489308369901843,2.8236772486402537,21.711826006052235,22.313674124543507,8.828080231552711,1.3200687947778826,17.80097385518442,6.481353602979254,38.93578854529226,10.25350732785865,8.914039923741118,35.55124674235763,11.292827408772368,20.397513889807538
"(3, 2)","(1, 3)",1,2.23606797749979,140.0,11.841573600084502,38.69718131539255,30.026943446538624,13.827421347643803,19.246870723172684,1.4094215918423096,36.32780427604181,27.72722475808643,123.28773842356406,24.613246573764194,12.85240229849643,55.50553608951881,28.12783903383562,49.36524736430755
"(3, 2)","(4, 5)",1,3.1622776601683795,140.0,7.788467680133899,24.518561593663783,51.10065850884895,358.3727139617971,5.653310598952266,3.3531636530298097,65.54782632779336,9.115160413284078,165.73800733192243,29.483995004107474,8.292569443301447,59.981570537320934,31.54939247084672,51.19604758098904
"(5, 6)","(4, 7)",1,1.4142135623730951,9.0,0.0012533837312650698,0.001877547931087899,0.003383459374379873,9.95216464844825e-12,0.0010707974463566054,6.220102905280157e-13,0.004876210701011358,0.0035579326929006147,9.95216464844825e-12,0.002064107540782802,0.0020053321138938573,0.004430500334625971,0.0016060858629801094,0.003701588754907441
"(5, 2)","(2, 4)",1,3.605551275463989,35.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
"(3, 1)","(1, 1)",3,2.0,8.0,0.41011274029729045,6.475703929502106,8.297211945110934,15.32204967909042,1.3458455104527478,0.36217962121774333,3.6942568177084802,1.3144757308556034,58.49410769594428,1.3646262566422922,0.5341359544878939,5.99030295913674,4.555290966958029,7.6807589967217345
"(1, 1)","(4, 2)",1,3.1622776601683795,217.0,26.131899671926984,52.67190339845591,104.39669603677744,292.619034336511,38.17995047293708,41.449560087501006,225.60815327279832,22.7456065845217,372.7116526820445,378.1857844801222,29.64774635777066,73.04361191592437,139.89048929371427,101.9532929209975
"(5, 6)","(2, 0)",1,6.708203932499369,9.0,0.004475680190171613,0.02599975545557778,0.03277532408324179,1.6215998108623897,0.005902597611240622,0.00022948228605029192,0.017248983860880755,0.008708118212896144,4.872430477661961,0.007289064113831469,0.0051066031799448285,0.02256767672884452,0.010919223734585818,0.02357615630054929
"(4, 5)","(4, 1)",1,4.0,204.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(1, 0)","(4, 2)",1,3.605551275463989,36.0,26.131899671926984,52.67190339845591,104.39669603677744,292.619034336511,38.17995047293708,41.449560087501006,225.60815327279832,22.7456065845217,372.7116526820445,378.1857844801222,29.64774635777066,73.04361191592437,139.89048929371427,101.9532929209975
"(4, 1)","(6, 2)",1,2.23606797749979,0.0,6.751297913150637,49.32938496394413,95.50872619350464,19.94667443294874,10.231878814768436,4.1856436571810125,85.11340560134771,10.159734992816455,114.52094836399388,66.0133014161505,14.362624810036502,43.43115198284174,51.075075640400854,70.34199403518042
"(1, 3)","(4, 1)",1,3.605551275463989,215.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(4, 1)","(5, 6)",1,5.0990195135927845,0.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(1, 0)","(0, 2)",1,2.23606797749979,36.0,0.06039385531221665,3.0372267758648777,0.4186687187228445,7.426710293566642,0.33260810782682526,0.024648435028998546,5.3978603105401755,0.273353656621817,3.922705634413615,1.845192097236645,0.07381595594885124,4.001327161231624,0.922368215762476,4.769039804164822
"(3, 5)","(4, 6)",2,1.4142135623730951,262.0,0.1913320550865007,0.6942894397181557,1.2720977543431018,5.595367825926443,0.1781153204247974,0.009974195469560514,1.8091816088608386,0.520436688576882,71.48224032938535,0.770939112294974,0.3167351990228713,1.6450356311148244,0.6255967140461655,1.3776200991364242
"(6, 3)","(3, 5)",1,3.605551275463989,8.0,13.532536606277962,50.606285975811424,69.03624246262254,34.97180105143469,17.98066846527245,2.990778033219235,67.07879713048425,13.814319060075226,153.96539258391428,31.472798579392954,13.756207099539738,72.57430584108658,59.35479847805848,80.30636889480218
"(4, 1)","(4, 5)",1,4.0,0.0,7.788467680133899,24.518561593663783,51.10065850884895,358.3727139617971,5.653310598952266,3.3531636530298097,65.54782632779336,9.115160413284078,165.73800733192243,29.483995004107474,8.292569443301447,59.981570537320934,31.54939247084672,51.19604758098904
"(0, 0)","(3, 2)",1,3.605551275463989,47.0,32.17836500575316,137.83318763755776,96.07698449447749,74.14132922000708,28.29468543628067,37.82515276082229,87.5109982233788,31.25820984447849,513.6735888338542,124.0933013886622,32.34366196448974,80.05857724520601,96.62107234805727,138.67563684300174
"(4, 4)","(4, 7)",1,3.0,181.0,0.0012533837312650698,0.001877547931087899,0.003383459374379873,9.95216464844825e-12,0.0010707974463566054,6.220102905280157e-13,0.004876210701011358,0.0035579326929006147,9.95216464844825e-12,0.002064107540782802,0.0020053321138938573,0.004430500334625971,0.0016060858629801094,0.003701588754907441
"(6, 4)","(5, 3)",1,1.4142135623730951,48.0,30.73859304763248,48.22924656713955,74.41062860703472,1512.1317841692342,37.086425619943775,14.737228667975625,26.585203695186614,39.25455850229579,98.59815328301049,43.46276618077918,39.95605718920207,98.79627487897064,48.0632175298209,63.326070262853996
"(6, 4)","(6, 2)",1,2.0,48.0,6.751297913150637,49.32938496394413,95.50872619350464,19.94667443294874,10.231878814768436,4.1856436571810125,85.11340560134771,10.159734992816455,114.52094836399388,66.0133014161505,14.362624810036502,43.43115198284174,51.075075640400854,70.34199403518042
"(4, 3)","(2, 4)",1,2.23606797749979,170.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
"(1, 2)","(2, 4)",2,2.23606797749979,204.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
